clip,id,frame,latitude,longitude
1_04 13 00,35,503.0,-13.527715729335165,-71.94317804818434
1_04 13 00,35,504.0,-13.527714825948753,-71.94317822346676
1_04 13 00,35,505.0,-13.527714373183489,-71.94317831131599
1_04 13 00,35,506.0,-13.527713897214115,-71.94317849721638
1_04 13 00,35,507.0,-13.527713499673927,-71.94317864559657
1_04 13 00,35,508.0,-13.527713644005335,-71.94317882219306
1_04 13 00,35,509.0,-13.527713743759346,-71.94317897299936
1_04 13 00,35,510.0,-13.527714242368148,-71.94317912143671
1_04 13 00,35,511.0,-13.527714717953742,-71.94317925107448
1_04 13 00,35,512.0,-13.527715170284031,-71.94317935172626
1_04 13 00,35,513.0,-13.527715686120587,-71.94317956545073
1_04 13 00,35,514.0,-13.527716167313637,-71.94317973939128
1_04 13 00,35,515.0,-13.527716214306391,-71.94317993482132
1_04 13 00,35,516.0,-13.52771618967206,-71.9431801152416
1_04 13 00,35,517.0,-13.527716349434975,-71.94318037213519
1_04 13 00,35,518.0,-13.527716498884846,-71.94318058190586
1_04 13 00,35,519.0,-13.52771664455816,-71.94318083492186
1_04 13 00,35,520.0,-13.527716776684235,-71.94318104164454
1_04 13 00,35,522.0,-13.527717464737796,-71.94318122115972
1_04 13 00,35,523.0,-13.527718057781156,-71.94318136706326
1_04 13 00,35,525.0,-13.527718308762262,-71.9431816015997
1_04 13 00,35,526.0,-13.527718523984213,-71.9431817950746
1_04 13 00,35,527.0,-13.527719406789743,-71.94318186285479
1_04 13 00,35,528.0,-13.527720167558202,-71.94318191507749
1_04 13 00,35,529.0,-13.527720844047648,-71.94318203876003
1_04 13 00,35,530.0,-13.527721441012023,-71.94318215087065
1_04 13 00,35,531.0,-13.527721860678337,-71.94318238302873
1_04 13 00,35,532.0,-13.52772221889451,-71.9431825787186
1_04 13 00,35,533.0,-13.52772245856162,-71.94318283053528
1_04 13 00,35,534.0,-13.527722606149602,-71.94318307148825
1_04 13 00,35,536.0,-13.527723123998422,-71.94318328692722
1_04 13 00,35,537.0,-13.527723423031079,-71.94318356066059
1_04 13 00,35,538.0,-13.527723678047922,-71.94318379406305
1_04 13 00,35,542.0,-13.527724133965402,-71.94318428015404
1_04 13 00,35,543.0,-13.527724526701622,-71.94318469974374
1_04 13 00,35,544.0,-13.527724864363787,-71.94318506133031
1_04 13 00,35,545.0,-13.527725133876908,-71.94318548003281
1_04 13 00,35,546.0,-13.52772536361959,-71.94318584095689
1_04 13 00,35,548.0,-13.527725903934591,-71.94318614770751
1_04 13 00,35,549.0,-13.52772636717218,-71.9431865260353
1_04 13 00,35,550.0,-13.527726768512649,-71.94318685272384
1_04 13 00,35,551.0,-13.527727276192234,-71.94318718477048
1_04 13 00,35,552.0,-13.527727717381111,-71.94318747106914
1_04 13 00,35,553.0,-13.5277282116624,-71.9431878517945
1_04 13 00,35,554.0,-13.527728640898532,-71.94318818128625
1_04 13 00,35,555.0,-13.52772909654515,-71.94318858081378
1_04 13 00,35,556.0,-13.527729607517376,-71.94318889040198
1_04 13 00,35,557.0,-13.52772988724929,-71.94318927565081
1_04 13 00,35,558.0,-13.527730125735012,-71.94318960879846
1_04 13 00,35,559.0,-13.527730228273837,-71.94318999938746
1_04 13 00,35,560.0,-13.527730309839129,-71.94319033682726
1_04 13 00,35,561.0,-13.527730671908975,-71.94319066150572
1_04 13 00,35,562.0,-13.527730984784876,-71.94319094135741
1_04 13 00,35,563.0,-13.527731397917917,-71.94319122329699
1_04 13 00,35,564.0,-13.527731756520518,-71.94319146544446
1_04 13 00,35,565.0,-13.527732068559638,-71.94319173007514
1_04 13 00,35,566.0,-13.52773227257568,-71.94319196913914
1_04 13 00,35,567.0,-13.527732615159719,-71.94319223334817
1_04 13 00,35,568.0,-13.527732910969311,-71.94319245989436
1_04 13 00,35,569.0,-13.527733231388593,-71.94319269829103
1_04 13 00,35,570.0,-13.527733507493256,-71.94319290198979
1_04 13 00,35,571.0,-13.527733863434833,-71.94319315647486
1_04 13 00,35,572.0,-13.52773417128658,-71.94319337470424
1_04 13 00,35,573.0,-13.52773464565184,-71.94319359160271
1_04 13 00,35,574.0,-13.527735059545037,-71.94319377668985
1_04 13 00,35,575.0,-13.527735460359251,-71.94319401783768
1_04 13 00,35,576.0,-13.527735808040568,-71.943194224561
1_04 13 00,35,577.0,-13.527736320367389,-71.94319448933197
1_04 13 00,35,578.0,-13.52773676771938,-71.9431947173972
1_04 13 00,35,579.0,-13.52773760783839,-71.9431949381782
1_04 13 00,35,580.0,-13.52773834973254,-71.94319512759552
1_04 13 00,35,581.0,-13.52773874890659,-71.94319540027863
1_04 13 00,35,582.0,-13.52773916042353,-71.94319562415393
1_04 13 00,35,583.0,-13.527739637469297,-71.94319589855702
1_04 13 00,35,584.0,-13.527740051626827,-71.94319613529271
1_04 13 00,35,585.0,-13.527740612284855,-71.94319636260731
1_04 13 00,35,586.0,-13.527741101408374,-71.94319655752125
1_04 13 00,35,587.0,-13.527741607719433,-71.94319677900752
1_04 13 00,35,588.0,-13.527742047730898,-71.9431969687253
1_04 13 00,35,589.0,-13.527742428256035,-71.94319713004968
1_04 13 00,35,590.0,-13.52774271353101,-71.94319735241348
1_04 13 00,35,591.0,-13.527742955435645,-71.94319754276378
1_04 13 00,35,593.0,-13.52774340512483,-71.94319781501247
1_04 13 00,35,594.0,-13.527743655312605,-71.94319812793147
1_04 13 00,35,596.0,-13.52774383699293,-71.94319849383221
1_04 13 00,35,597.0,-13.52774433054826,-71.94319887428006
1_04 13 00,35,598.0,-13.52774475896345,-71.9431992055873
1_04 13 00,35,599.0,-13.527745265993017,-71.94319958628154
1_04 13 00,35,600.0,-13.527745706263945,-71.94319991760338
1_04 13 00,35,601.0,-13.52774629689661,-71.94320017560462
1_04 13 00,35,602.0,-13.52774681239075,-71.94320039760333
1_04 13 00,35,603.0,-13.527747103799543,-71.94320065366574
1_04 13 00,35,604.0,-13.52774735085469,-71.94320087343847
1_04 13 00,35,605.0,-13.527747558475898,-71.94320106085505
1_04 13 00,35,606.0,-13.527748807300412,-71.94320120118554
1_04 13 00,35,607.0,-13.527749846005042,-71.9432013283617
1_04 13 00,35,608.0,-13.527750704084097,-71.94320151014304
1_04 13 00,35,609.0,-13.527751458865756,-71.94320166486352
1_04 13 00,35,610.0,-13.52775186623665,-71.94320191827013
1_04 13 00,35,611.0,-13.527752214696473,-71.9432021364089
1_04 13 00,35,612.0,-13.527752008412307,-71.94320245313367
1_04 13 00,35,613.0,-13.52775193960426,-71.94320275555015
1_04 13 00,35,614.0,-13.527751864455697,-71.94320301627738
1_04 13 00,35,615.0,-13.527751980211493,-71.94320337343629
1_04 13 00,35,616.0,-13.527752070384322,-71.9432036830876
1_04 13 00,35,617.0,-13.52775214925385,-71.94320401605682
1_04 13 00,35,618.0,-13.527752207316349,-71.94320430398915
1_04 13 00,35,619.0,-13.527752247242772,-71.94320455182991
1_04 13 00,35,620.0,-13.527752313237173,-71.94320479257476
1_04 13 00,35,621.0,-13.527752360995258,-71.94320499852608
1_04 13 00,35,623.0,-13.527752476427844,-71.94320523066207
1_04 13 00,35,624.0,-13.527752856659154,-71.9432054529582
1_04 13 00,35,625.0,-13.527753185922602,-71.94320564313779
1_04 13 00,35,626.0,-13.527753508285189,-71.94320588884152
1_04 13 00,35,627.0,-13.527753785619893,-71.94320609988165
1_04 13 00,35,628.0,-13.527753859003559,-71.94320634115482
1_04 13 00,35,629.0,-13.527753942140313,-71.94320656698758
1_04 13 00,35,630.0,-13.527754132000753,-71.94320684598752
1_04 13 00,35,631.0,-13.527754319478024,-71.94320710562023
1_04 13 00,35,632.0,-13.52775462021366,-71.94320736941549
1_04 13 00,35,633.0,-13.527754879046487,-71.94320759659513
1_04 13 00,35,634.0,-13.527755300021147,-71.94320787016859
1_04 13 00,35,635.0,-13.52775574025735,-71.9432080992681
1_04 13 00,35,636.0,-13.527756310342884,-71.94320836567091
1_04 13 00,35,637.0,-13.527756810105352,-71.94320859567685
1_04 13 00,35,638.0,-13.527757256521914,-71.94320885770922
1_04 13 00,35,639.0,-13.527757644844598,-71.94320908357973
1_04 13 00,35,640.0,-13.527757887689418,-71.94320932902254
1_04 13 00,35,641.0,-13.527758093737976,-71.9432095397719
1_04 13 00,35,642.0,-13.527758380103709,-71.94320979690927
1_04 13 00,35,643.0,-13.527758700451189,-71.94321001180191
1_04 13 00,35,644.0,-13.527758896184961,-71.9432102565636
