clip,id,frame,latitude,longitude
1_04_13_00,65,2038.0,-13.5228131657911,-71.96144413055173
1_04_13_00,65,2039.0,-13.5228131657911,-71.96144413055173
1_04_13_00,65,2040.0,-13.52281311753175,-71.96144411734052
1_04_13_00,65,2041.0,-13.522813100438082,-71.96144411266107
1_04_13_00,65,2042.0,-13.522813091167391,-71.96144411012318
1_04_13_00,65,2043.0,-13.522813084964413,-71.96144410842508
1_04_13_00,65,2044.0,-13.522813080292629,-71.96144410714616
1_04_13_00,65,2045.0,-13.522813076551003,-71.96144410612189
1_04_13_00,65,2046.0,-13.522813102336858,-71.96144404018007
1_04_13_00,65,2047.0,-13.522813124573332,-71.96144398363546
1_04_13_00,65,2048.0,-13.522813143746994,-71.96144393520184
1_04_13_00,65,2049.0,-13.522813160133209,-71.96144389410685
1_04_13_00,65,2050.0,-13.522813202654673,-71.9614437949583
1_04_13_00,65,2051.0,-13.52281326729799,-71.96144364667099
1_04_13_00,65,2052.0,-13.522813322010466,-71.96144352142105
1_04_13_00,65,2053.0,-13.52281336787867,-71.96144341663603
1_04_13_00,65,2054.0,-13.522813433509338,-71.96144326767686
1_04_13_00,65,2055.0,-13.522813515374944,-71.9614430824139
1_04_13_00,65,2056.0,-13.52281358387975,-71.9614429275407
1_04_13_00,65,2057.0,-13.522813640978693,-71.96144279858939
1_04_13_00,65,2058.0,-13.522813706518185,-71.96144269660344
1_04_13_00,65,2059.0,-13.522813786354465,-71.96144255566762
1_04_13_00,65,2060.0,-13.52281387799525,-71.96144238232928
1_04_13_00,65,2061.0,-13.52281395511015,-71.96144223682774
1_04_13_00,65,2062.0,-13.522814019891515,-71.96144211493225
1_04_13_00,65,2063.0,-13.52281407419996,-71.96144201305748
1_04_13_00,65,2064.0,-13.522814119610208,-71.96144192817277
1_04_13_00,65,2065.0,-13.522814157453363,-71.96144185771934
1_04_13_00,65,2066.0,-13.522814188854433,-71.96144179953681
1_04_13_00,65,2067.0,-13.52281421476491,-71.96144175179988
1_04_13_00,65,2068.0,-13.52281423599055,-71.96144171296423
1_04_13_00,65,2069.0,-13.522814296507072,-71.9614415839704
1_04_13_00,65,2070.0,-13.522814348013826,-71.96144147407377
1_04_13_00,65,2071.0,-13.52281439172906,-71.9614413806965
1_04_13_00,65,2072.0,-13.522814428697666,-71.96144130162732
1_04_13_00,65,2073.0,-13.522814459817958,-71.96144123496477
1_04_13_00,65,2074.0,-13.522814471202008,-71.9614411749889
1_04_13_00,65,2075.0,-13.522814479970023,-71.96144112486125
1_04_13_00,65,2076.0,-13.522814506830096,-71.96144103737423
1_04_13_00,65,2077.0,-13.522814529309432,-71.96144096286109
1_04_13_00,65,2078.0,-13.522814533685718,-71.96144089571983
1_04_13_00,65,2079.0,-13.522814536418936,-71.96144083898618
1_04_13_00,65,2080.0,-13.52281455763039,-71.96144074650374
1_04_13_00,65,2081.0,-13.522814575313092,-71.96144066726157
1_04_13_00,65,2082.0,-13.52281458990611,-71.96144059967426
1_04_13_00,65,2083.0,-13.522814601795254,-71.96144054234661
1_04_13_00,65,2084.0,-13.522814611320056,-71.9614404940488
1_04_13_00,65,2085.0,-13.522814618779744,-71.96144045369513
1_04_13_00,65,2086.0,-13.52281462443834,-71.96144042032596
1_04_13_00,65,2087.0,-13.522814628529016,-71.9614403930919
1_04_13_00,65,2088.0,-13.522814631257889,-71.96144037124053
1_04_13_00,65,2089.0,-13.52281463280727,-71.96144035410467
1_04_13_00,65,2090.0,-13.522814633338472,-71.9614403410924
1_04_13_00,65,2091.0,-13.522814632994265,-71.96144033167826
1_04_13_00,65,2092.0,-13.522814631901014,-71.96144032539564
1_04_13_00,65,2093.0,-13.522814630170535,-71.96144032183014
1_04_13_00,65,2094.0,-13.522814647055311,-71.96144027744194
1_04_13_00,65,2095.0,-13.522814699603769,-71.96144015367751
1_04_13_00,65,2096.0,-13.522814707445079,-71.9614401315723
1_04_13_00,65,2097.0,-13.522814713689275,-71.96144011385303
1_04_13_00,65,2098.0,-13.522814718531157,-71.96144009998766
1_04_13_00,65,2099.0,-13.522814722144647,-71.96144008950093
1_04_13_00,65,2100.0,-13.522814743706544,-71.96144003909743
1_04_13_00,65,2101.0,-13.522814762240955,-71.96143999598695
1_04_13_00,65,2102.0,-13.52281477808257,-71.96143995935554
1_04_13_00,65,2103.0,-13.522814791531767,-71.96143992847301
1_04_13_00,65,2104.0,-13.522814802858166,-71.9614399026843
1_04_13_00,65,2105.0,-13.522814812303713,-71.96143988140186
1_04_13_00,65,2106.0,-13.5228148200855,-71.96143986409871
1_04_13_00,65,2107.0,-13.522814826398264,-71.96143985030251
1_04_13_00,65,2108.0,-13.522814831416621,-71.96143983958993
1_04_13_00,65,2109.0,-13.522814835297071,-71.9614398315819
1_04_13_00,65,2110.0,-13.522814838179805,-71.96143982593901
1_04_13_00,65,2111.0,-13.522814840190303,-71.96143982235773
1_04_13_00,65,2112.0,-13.522814835998995,-71.96143986696322
1_04_13_00,65,2113.0,-13.522814831739947,-71.96143990807131
1_04_13_00,65,2114.0,-13.522814827444384,-71.96143994596211
1_04_13_00,65,2115.0,-13.522814823139363,-71.96143998089278
1_04_13_00,65,2116.0,-13.52281481340375,-71.9614400595182
1_04_13_00,65,2117.0,-13.52281480429163,-71.96144013060785
1_04_13_00,65,2118.0,-13.522814795762526,-71.96144019485098
1_04_13_00,65,2119.0,-13.522814774306346,-71.96144024910674
1_04_13_00,65,2120.0,-13.522814754821466,-71.961440298127
1_04_13_00,65,2121.0,-13.522814756062065,-71.96144029968603
1_04_13_00,65,2122.0,-13.522814737954606,-71.96144034426662
1_04_13_00,65,2123.0,-13.522814721536477,-71.96144038447709
1_04_13_00,65,2124.0,-13.52281470665565,-71.96144042072233
1_04_13_00,65,2125.0,-13.52281469317346,-71.961440453371
1_04_13_00,65,2126.0,-13.522814680963434,-71.96144048275873
1_04_13_00,65,2127.0,-13.522814669910233,-71.96144050919096
1_04_13_00,65,2128.0,-13.522814659908724,-71.9614405329456
1_04_13_00,65,2129.0,-13.52281465086306,-71.96144055427547
1_04_13_00,65,2130.0,-13.522814642685896,-71.96144057341043
1_04_13_00,65,2131.0,-13.522814635297642,-71.96144059055955
1_04_13_00,65,2132.0,-13.522814628625794,-71.96144060591277
1_04_13_00,65,2133.0,-13.52281462260431,-71.96144061964272
1_04_13_00,65,2134.0,-13.522814617173044,-71.96144063190616
1_04_13_00,65,2135.0,-13.522814598791536,-71.96144063908106
1_04_13_00,65,2136.0,-13.522814582360017,-71.96144064547029
1_04_13_00,65,2137.0,-13.522814548717404,-71.96144069394282
1_04_13_00,65,2138.0,-13.5228145187173,-71.96144073714099
1_04_13_00,65,2139.0,-13.522814510991571,-71.96144073276287
1_04_13_00,65,2140.0,-13.522814504174816,-71.96144072873633
1_04_13_00,65,2141.0,-13.522814479186488,-71.96144076784805
1_04_13_00,65,2142.0,-13.522814456988636,-71.96144080261304
1_04_13_00,65,2143.0,-13.522814456304118,-71.96144079062522
1_04_13_00,65,2144.0,-13.522814474815585,-71.96144073693902
1_04_13_00,65,2145.0,-13.522814472447315,-71.96144073174736
1_04_13_00,65,2146.0,-13.522814470435229,-71.96144072702667
1_04_13_00,65,2147.0,-13.522814468739732,-71.96144072273523
1_04_13_00,65,2148.0,-13.522814467325144,-71.96144071883491
1_04_13_00,65,2149.0,-13.522814466159353,-71.96144071529093
1_04_13_00,65,2150.0,-13.522814465213463,-71.9614407120716
1_04_13_00,65,2151.0,-13.522814464461504,-71.96144070914795
1_04_13_00,65,2152.0,-13.522814463880147,-71.96144070649353
1_04_13_00,65,2153.0,-13.522814463448457,-71.96144070408431
1_04_13_00,65,2154.0,-13.522814463147668,-71.96144070189827
1_04_13_00,65,2155.0,-13.52281444396823,-71.96144074272569
1_04_13_00,65,2156.0,-13.522814426947335,-71.96144077909523
1_04_13_00,65,2157.0,-13.522814411870744,-71.96144081144311
1_04_13_00,65,2158.0,-13.52281439854408,-71.96144084016534
1_04_13_00,65,2159.0,-13.522814405800096,-71.96144082277526
1_04_13_00,65,2160.0,-13.522814412405232,-71.96144080709938
1_04_13_00,65,2161.0,-13.522814418416834,-71.96144079297777
1_04_13_00,65,2162.0,-13.522814423887258,-71.961440780265
1_04_13_00,65,2163.0,-13.522814409862123,-71.96144081165919
1_04_13_00,65,2164.0,-13.522814397450071,-71.96144083956001
1_04_13_00,65,2165.0,-13.522814386489278,-71.96144086431266
1_04_13_00,65,2166.0,-13.522814376833036,-71.96144088623033
1_04_13_00,65,2167.0,-13.522814368348428,-71.96144090559712
1_04_13_00,65,2168.0,-13.522814360915081,-71.96144092267045
1_04_13_00,65,2169.0,-13.522814354424034,-71.96144093768359
1_04_13_00,65,2170.0,-13.522814348776725,-71.96144095084784
1_04_13_00,65,2171.0,-13.522814324857105,-71.96144100524093
1_04_13_00,65,2172.0,-13.522814303672245,-71.96144105350471
1_04_13_00,65,2173.0,-13.522814303987674,-71.96144105333424
1_04_13_00,65,2174.0,-13.522814323485528,-71.96144100994705
1_04_13_00,65,2175.0,-13.522814341036224,-71.96144097096342
1_04_13_00,65,2176.0,-13.522814356823163,-71.96144093596492
1_04_13_00,65,2177.0,-13.522814371012984,-71.96144090457159
1_04_13_00,65,2178.0,-13.52281438375707,-71.96144087643836
1_04_13_00,65,2179.0,-13.522814414199622,-71.96144080841059
1_04_13_00,65,2180.0,-13.522814441383105,-71.96144074772405
1_04_13_00,65,2181.0,-13.522814465626567,-71.9614406936573
1_04_13_00,65,2182.0,-13.522814487219078,-71.96144064555676
1_04_13_00,65,2183.0,-13.522814506422517,-71.96144060283055
1_04_13_00,65,2184.0,-13.522814523474091,-71.9614405649426
1_04_13_00,65,2185.0,-13.522814557553804,-71.96144048865908
1_04_13_00,65,2186.0,-13.522814601295623,-71.96144042472778
1_04_13_00,65,2187.0,-13.522814626658786,-71.96144036434579
1_04_13_00,65,2188.0,-13.522814649078363,-71.96144031094896
1_04_13_00,65,2189.0,-13.522814682321915,-71.96144026759588
1_04_13_00,65,2190.0,-13.522814711722999,-71.96144022946969
1_04_13_00,65,2191.0,-13.522814737670988,-71.96144019603119
1_04_13_00,65,2192.0,-13.522814760518052,-71.96144016679308
1_04_13_00,65,2193.0,-13.522814794041887,-71.96144014508259
1_04_13_00,65,2194.0,-13.522814823605074,-71.96144012632553
1_04_13_00,65,2195.0,-13.522814849612258,-71.96144011020324
1_04_13_00,65,2196.0,-13.522814858975385,-71.96144009266129
1_04_13_00,65,2197.0,-13.522814880396453,-71.96144008138454
1_04_13_00,65,2198.0,-13.522814899113452,-71.96144007192298
1_04_13_00,65,2199.0,-13.522814915409832,-71.96144006407043
1_04_13_00,65,2200.0,-13.52281489721291,-71.96144009648192
1_04_13_00,65,2201.0,-13.522814894047071,-71.96144012970227
1_04_13_00,65,2202.0,-13.522814877408399,-71.96144015605088
1_04_13_00,65,2203.0,-13.522814862230764,-71.96144017998371
1_04_13_00,65,2204.0,-13.522814848387766,-71.96144020171566
1_04_13_00,65,2205.0,-13.522814835763809,-71.96144022144304
1_04_13_00,65,2206.0,-13.522814824253185,-71.96144023934498
1_04_13_00,65,2207.0,-13.52281481375923,-71.96144025558498
1_04_13_00,65,2208.0,-13.52281480419357,-71.9614402703122
1_04_13_00,65,2209.0,-13.522814795475425,-71.96144028366271
1_04_13_00,65,2210.0,-13.522814787530942,-71.96144029576067
1_04_13_00,65,2211.0,-13.52281478029264,-71.9614403067193
1_04_13_00,65,2212.0,-13.522814773698832,-71.96144031664176
1_04_13_00,65,2213.0,-13.52281476769316,-71.9614403256222
1_04_13_00,65,2214.0,-13.52281476222413,-71.9614403337464
1_04_13_00,65,2215.0,-13.522814757244689,-71.9614403410925
1_04_13_00,65,2216.0,-13.522814752711858,-71.96144034773174
1_04_13_00,65,2217.0,-13.522814748586383,-71.96144035372902
1_04_13_00,65,2218.0,-13.52281472590785,-71.9614404018428
1_04_13_00,65,2219.0,-13.522814705618396,-71.96144044480062
1_04_13_00,65,2220.0,-13.522814674013027,-71.96144047933704
1_04_13_00,65,2221.0,-13.522814664763413,-71.9614404673468
1_04_13_00,65,2222.0,-13.52281465654114,-71.96144045657284
1_04_13_00,65,2223.0,-13.522814649244454,-71.96144044690004
1_04_13_00,65,2224.0,-13.52281464278111,-71.96144043822375
1_04_13_00,65,2225.0,-13.522814650543104,-71.96144043421465
1_04_13_00,65,2226.0,-13.522814657514264,-71.96144043061143
1_04_13_00,65,2227.0,-13.522814677243886,-71.96144043114131
1_04_13_00,65,2228.0,-13.522814694860557,-71.96144043159441
1_04_13_00,65,2229.0,-13.522814697097369,-71.96144042821389
1_04_13_00,65,2230.0,-13.522814685605653,-71.96144042141648
1_04_13_00,65,2231.0,-13.52281467534812,-71.96144041534343
1_04_13_00,65,2232.0,-13.522814679678087,-71.96144041369011
1_04_13_00,65,2233.0,-13.522814683548676,-71.96144041221791
1_04_13_00,65,2234.0,-13.522814705936552,-71.96144036820392
1_04_13_00,65,2235.0,-13.522814725886743,-71.96144032898941
1_04_13_00,65,2236.0,-13.522814743639373,-71.9614402941013
1_04_13_00,65,2237.0,-13.52281475941202,-71.9614402631109
1_04_13_00,65,2238.0,-13.522814773401794,-71.9614402356299
1_04_13_00,65,2239.0,-13.52281478578721,-71.96144021130661
1_04_13_00,65,2240.0,-13.52281477782285,-71.96144023247493
1_04_13_00,65,2241.0,-13.522814770617195,-71.96144025155901
1_04_13_00,65,2242.0,-13.522814764101078,-71.96144026875251
