lat,lon
-13.523764413065559,-71.9569764659759
-13.523764472301828,-71.9569766013773
-13.523762104742534,-71.9569798644651
-13.523761288312373,-71.9569810934544
-13.52376245195556,-71.95698063142234
-13.52376323090058,-71.95698036064832
-13.523765078011941,-71.95697918921775
-13.52376666168207,-71.95697816593936
-13.52376827141589,-71.95697736276182
-13.523769635701408,-71.95697669105414
-13.523772989500632,-71.95697424317338
-13.52377584355774,-71.95697216220125
-13.52377816384284,-71.95697080290466
-13.523780094800998,-71.95696968623504
-13.523781259585087,-71.95696953106479
-13.523782202705847,-71.95696946069054
-13.523782947240287,-71.95696943099165
-13.523783792792436,-71.95696945711524
-13.523784470350812,-71.95696951453093
-13.523784863002321,-71.9569700459745
-13.523785324113181,-71.95697060968985
-13.52378568732804,-71.95697111743159
-13.523785964074918,-71.95697156298675
-13.523786358377544,-71.95697210316004
-13.523786673744326,-71.95697258652547
-13.523786934885615,-71.95697327046248
-13.523787982341343,-71.95697334810336
-13.523789013356986,-71.95697328198938
-13.523789751045884,-71.95697361360055
-13.523790372309426,-71.9569739152485
-13.523792047415656,-71.95697334162566
-13.523793480533891,-71.95697284381659
-13.523795293191139,-71.95697214968112
-13.523796854567728,-71.95697155700131
-13.52379819216508,-71.95697104228329
-13.52379967842583,-71.95697048106379
-13.523800958162441,-71.9569700038196
-13.523802261961501,-71.95696960976043
-13.523804070870462,-71.9569688977971
-13.523805642836697,-71.95696829719743
-13.523806996034669,-71.95696777459982
-13.523808435844591,-71.95696729489703
-13.523809679629155,-71.95696688858041
-13.52381120073459,-71.95696630992042
-13.523813240719406,-71.95696555433112
-13.523814961503032,-71.95696497685806
-13.523816449725107,-71.9569644744501
-13.52381819271037,-71.95696417046223
-13.523819713816566,-71.95696392935072
-13.523821717368415,-71.9569634288354
-13.52382386028618,-71.95696318686043
-13.523825796985665,-71.95696293811041
-13.523827479201165,-71.95696272658421
-13.523829456647633,-71.9569624590286
-13.523831186344491,-71.95696224937436
-13.523833292425378,-71.95696196847635
-13.523835252076301,-71.95696162277845
-13.523837464442774,-71.95696137256465
-13.523839408981317,-71.95696118732566
-13.523841832262073,-71.95696082297276
-13.523844014670203,-71.95696046459804
-13.523846327750428,-71.9569601984067
-13.523848858383682,-71.95696001814473
-13.523851135925392,-71.95695982377835
-13.523853117097035,-71.95695965977141
-13.523855476813155,-71.95695931912279
-13.523857604360508,-71.95695899078726
-13.523860347811416,-71.9569583033619
-13.523863292339714,-71.95695764758011
-13.52386593133971,-71.95695702962291
-13.523868227770702,-71.95695648886198
-13.523870656262845,-71.95695607833363
-13.52387283270647,-71.95695567994966
-13.523875339318447,-71.95695537555535
-13.523877524241874,-71.95695512413056
-13.52388012830782,-71.95695466333733
