lat,lon
-13.527766563129164,-71.94312342889505
-13.527766563129164,-71.94312342889505
-13.527766563129164,-71.94312342889505
-13.527766563129164,-71.94312342889505
-13.527766563129164,-71.94312342889505
-13.527766563129164,-71.94312342889505
-13.527766563129164,-71.94312342889505
-13.527766563129164,-71.94312342889505
-13.527766371573028,-71.94312348813826
-13.527766207392519,-71.94312353891497
-13.527765905977166,-71.94312365774748
-13.527765648066614,-71.94312375961533
-13.527765240985998,-71.94312390431959
-13.52776489732935,-71.94312402642996
-13.527764425266893,-71.94312418552973
-13.527764367572024,-71.94312418955127
-13.527764326135854,-71.94312419026689
-13.52776412029964,-71.9431242433625
-13.527763658079964,-71.9431244242978
-13.527763102159328,-71.94312462820389
-13.527762944223555,-71.94312468143048
-13.52776295476111,-71.94312465939863
-13.52776256309093,-71.9431248298289
-13.527762234751615,-71.94312497325647
-13.527762090392018,-71.94312503244949
-13.527761820400608,-71.9431251279861
-13.527761743889133,-71.94312516183125
-13.527761683827492,-71.94312518888218
-13.527761492065794,-71.94312525506
-13.527761331488408,-71.94312531037053
-13.527761100538086,-71.94312542510512
-13.527761023038277,-71.94312546739066
-13.527760939145342,-71.9431254899584
-13.527760871147688,-71.94312550770103
-13.527760816790037,-71.94312552131984
-13.527760660908239,-71.94312558474394
-13.527760529147034,-71.94312563853973
-13.527760418338763,-71.94312568396543
-13.527760194712535,-71.94312576243884
-13.527760002891519,-71.94312582965115
-13.527759838889057,-71.94312588701735
-13.52775959127355,-71.94312598666663
-13.52775935782962,-71.94312606128966
-13.527759156871902,-71.94312612527307
-13.527759130314355,-71.94312615246542
-13.527759006281778,-71.94312622447427
-13.5277590066856,-71.94312623674264
-13.527759011944056,-71.94312624576749
-13.527759021328613,-71.94312625197583
-13.527758929871046,-71.94312630492561
-13.527758853152001,-71.94312635019023
-13.527758912643362,-71.94312635083152
-13.527758969746898,-71.94312634972678
-13.527759024525993,-71.94312634712963
-13.527759077044674,-71.9431263432645
-13.527759127367394,-71.94312633832976
-13.527759175558838,-71.94312633250082
-13.527759221683745,-71.94312632593254
-13.527759265806772,-71.94312631876154
-13.527759411042917,-71.94312626261676
-13.527759504538194,-71.94312618946469
-13.527759525894604,-71.94312619360377
-13.527759444259464,-71.94312624474638
-13.527759271111174,-71.94312633761757
-13.52775928598845,-71.94312630086284
-13.527759282313001,-71.94312625616051
-13.52775928125995,-71.94312621537088
-13.527759179983462,-71.94312622644316
-13.527759091900428,-71.94312623549604
-13.527759117866957,-71.94312619454462
-13.527759143141791,-71.9431261572801
-13.527759186901394,-71.94312613426288
-13.52775922782789,-71.94312611312223
-13.527759246900995,-71.94312608281734
-13.527759304008772,-71.94312607704592
-13.527759356521239,-71.94312607142471
-13.527759404813336,-71.9431260659614
-13.527759449228977,-71.94312606066174
-13.527759490083627,-71.94312605552993
-13.52775952766673,-71.94312605056871
-13.527759562243888,-71.94312604577962
-13.527759696652966,-71.94312599282257
-13.527759817489699,-71.94312594524486
-13.527759682072405,-71.94312597756979
-13.527759459603068,-71.94312605446055
-13.527759364655061,-71.94312607441869
-13.527759281017785,-71.94312609189194
-13.527759207522895,-71.94312610714158
-13.527759143116274,-71.94312612040312
-13.527759188967043,-71.94312608370188
-13.527759230996136,-71.9431260506425
-13.52775916732309,-71.94312606912187
-13.527759213706188,-71.94312603713969
-13.527759256066172,-71.94312600837867
-13.527759294747064,-71.94312598253688
-13.52775933006392,-71.9431259593394
-13.527759362305206,-71.94312593853593
-13.52775939173501,-71.94312591989883
-13.527759418595071,-71.94312590322103
-13.527759443106618,-71.94312588831433
-13.527759465472084,-71.94312587500761
-13.527759485876665,-71.94312586314543
-13.527759504489817,-71.94312585258669
-13.527759521466493,-71.94312584320323
-13.52775953694844,-71.9431258348788
-13.52775955106527,-71.94312582750797
