lat,lon
-13.522793363671427,-71.96143979138131
-13.522793363671427,-71.96143979138131
-13.522793555609484,-71.96143930746119
-13.522793623447745,-71.96143913642533
-13.522793837998957,-71.9614386999499
-13.522793979853988,-71.96143841122942
-13.522794206068397,-71.96143791325824
-13.522794468329089,-71.96143730984844
-13.522794686411066,-71.96143680785028
-13.522794915199453,-71.96143625103214
-13.522795107696714,-71.96143578162037
-13.5227952679438,-71.96143538998815
-13.522795489581155,-71.96143480099163
-13.522795672999324,-71.96143431157198
-13.522795920080284,-71.96143372245773
-13.522796123791972,-71.961433237055
-13.522796364348313,-71.96143265362765
-13.522796562072477,-71.96143217405279
-13.522796855112457,-71.96143148638411
-13.522797097538106,-71.96143091791674
-13.522797441880536,-71.96143017176972
-13.52279772842518,-71.96142955220995
-13.522798031544632,-71.96142887419555
-13.522798284055877,-71.961428310055
-13.522798520572922,-71.96142779059664
-13.522798717374679,-71.96142735916219
-13.522798975546415,-71.96142674620845
-13.522799191898528,-71.96142623221033
-13.52279939753501,-71.961425754672
-13.522799569592085,-71.96142535511827
-13.52279979352584,-71.9614248329998
-13.522799982192122,-71.96142439306237
-13.52280018024518,-71.96142388003167
-13.522800347092508,-71.96142344635068
-13.522800586285912,-71.96142285803167
-13.522800789530374,-71.96142235750816
-13.52280104395221,-71.96142171079913
-13.522801238879673,-71.96142120038097
-13.52280151336125,-71.96142055756003
-13.522801748371222,-71.9614200073831
-13.52280192801898,-71.9614194840681
-13.522802080199362,-71.96141903764538
-13.522802293269244,-71.96141840405359
-13.522802496050536,-71.96141782022387
-13.522802724353047,-71.96141724481508
-13.522802919897845,-71.9614167515779
-13.52280316204019,-71.96141612693172
-13.52280341068075,-71.96141551247408
-13.52280362439353,-71.96141498428916
-13.522803834233098,-71.96141445134161
-13.522804013883112,-71.96141399462307
-13.52280416696409,-71.96141360500604
-13.522804362747175,-71.96141311980685
-13.522804530270005,-71.96141270460832
-13.522804731649593,-71.96141215244153
-13.522804949759234,-71.96141156249091
-13.522805137137262,-71.96141105436978
-13.522805316444481,-71.96141049612416
-13.522805469560348,-71.96141001583617
-13.522805644331859,-71.96140949132239
-13.522805889363077,-71.9614088600141
-13.522806119880407,-71.96140827913936
-13.522806368739113,-71.96140762752523
-13.522806583537266,-71.96140706472022
-13.522806849508493,-71.96140639931193
-13.52280707943206,-71.96140582442813
-13.52280735203358,-71.96140518941367
-13.522807587814821,-71.96140464151607
-13.522807858180814,-71.96140398886256
-13.522808091896025,-71.96140342541139
-13.522808353918288,-71.96140279923574
-13.522808580212766,-71.96140225926369
-13.52280877488466,-71.96140179556107
-13.522808989148048,-71.96140125525739
-13.522809173176263,-71.96140079110761
-13.522809390039042,-71.96140025546181
-13.522809576425594,-71.96139979532775
-13.522809782652669,-71.9613992600584
-13.522810024033737,-71.96139862552852
-13.52281021438475,-71.96139811091518
-13.522810428908858,-71.9613974920497
-13.522810613196357,-71.96139695817938
-13.522810828731101,-71.96139636467375
-13.522811013977345,-71.96139585330995
-13.522811229980082,-71.96139528086748
-13.522811433049188,-71.96139475588518
-13.522811607330716,-71.96139430520262
-13.52281178377776,-71.9613938158804
-13.522811934513431,-71.96139339661582
-13.522812124247997,-71.9613928719882
-13.522812286848476,-71.96139242128622
-13.522812481653055,-71.96139190558483
-13.522812648826896,-71.96139146270131
-13.522812806624438,-71.96139097783293
-13.522812941023146,-71.96139056209064
-13.52281312710311,-71.9613900477607
-13.522813306484647,-71.96138946530488
-13.522813460099266,-71.96138896300351
-13.522813590926955,-71.9613885317064
-13.522813779953292,-71.96138804483726
-13.52281394234524,-71.96138762716807
-13.522814112134162,-71.9613871366218
-13.522814257482242,-71.96138671552052
-13.52281445174049,-71.96138620072438
-13.52281461885794,-71.96138575806914
-13.522814831983238,-71.9613852252793
-13.522815015840942,-71.96138476666512
-13.522815220139169,-71.96138421264105
-13.522815396123177,-71.96138373518507
-13.522815583847125,-71.96138323291754
-13.52281574517035,-71.96138280128432
-13.52281589218492,-71.96138236534
-13.522816017448616,-71.9613819923302
-13.522816187238137,-71.96138155861875
-13.522816321410183,-71.96138118328243
-13.522816487436309,-71.96138074394118
-13.522816641140855,-71.96138037170498
-13.5228168129015,-71.96137993159154
-13.522816960354989,-71.9613795543673
-13.522817137645635,-71.96137911456412
-13.522817290050202,-71.96137873747327
-13.522817460169293,-71.9613782942736
-13.522817606230516,-71.96137791401904
-13.522817743744474,-71.96137749263308
-13.52281784968182,-71.96137712739745
-13.52281795152454,-71.96137671965317
-13.522818037118649,-71.96137637044907
-13.52281814748515,-71.96137595357395
-13.522818240812953,-71.9613755961186
-13.52281833156112,-71.9613751959584
-13.52281840760011,-71.96137485316038
-13.522818513527886,-71.96137441137424
-13.522818603198823,-71.96137403152876
