lat,lon
-13.521750557092314,-71.96493183496565
-13.521750584183826,-71.9649317046278
-13.521750464736131,-71.96493167060459
-13.521750430613356,-71.96493161897966
-13.521750417124139,-71.96493156665731
-13.521750577250094,-71.96493130173887
-13.521750698147141,-71.96493109890473
-13.521750757955129,-71.96493098610182
-13.521750806459652,-71.96493089798136
-13.521750887972447,-71.96493075594735
-13.52175095566166,-71.9649306425943
-13.52175105372349,-71.9649304784483
-13.521751135204488,-71.9649303458909
-13.52175132486455,-71.96493009999395
-13.521751484318356,-71.96492989718797
-13.521751547361314,-71.96492962676516
-13.521751609675718,-71.96492940697414
-13.521751639002266,-71.96492908145913
-13.521751648960802,-71.96492880779381
-13.52175156536416,-71.96492847528323
-13.521751491480252,-71.96492819840526
-13.52175133020915,-71.96492796904856
-13.521751206867362,-71.9649277581213
-13.521751021960664,-71.96492751123351
-13.521750862268153,-71.9649273057036
-13.521750628253354,-71.96492710899099
-13.521750431036379,-71.9649269223363
-13.521750285151361,-71.96492670073384
-13.521750159352745,-71.96492651489746
-13.52175000141854,-71.96492639392712
-13.521749908441937,-71.96492623596167
-13.521749813075479,-71.9649260766711
-13.521749735369745,-71.96492592153636
-13.521749658989396,-71.96492578908297
-13.521749593478875,-71.96492567892531
-13.521749494909983,-71.9649255990848
-13.521749409847244,-71.96492553466308
-13.521749367793758,-71.96492542509503
-13.521749336396702,-71.96492531291548
-13.521749337061301,-71.9649251824552
-13.5217493391819,-71.9649250725811
-13.52174932799425,-71.96492495483751
-13.52174931952286,-71.96492485591882
-13.521749245092124,-71.9649247766201
-13.521749180574487,-71.96492471150353
-13.521749096142795,-71.96492460764559
-13.521749022729107,-71.96492452046725
-13.52174888510936,-71.9649243845982
-13.521748764486059,-71.96492426877661
-13.521748659022322,-71.96492417070536
-13.521748512922994,-71.96492407349855
-13.521748384919958,-71.96492399181905
-13.52174824459045,-71.96492387326593
-13.521748109743308,-71.96492368353819
-13.521747991782341,-71.96492351919613
-13.521747849339114,-71.96492338805606
-13.521747724782058,-71.96492327597204
-13.521747623539929,-71.96492314006633
-13.521747535751835,-71.9649230236265
-13.521747445704506,-71.9649228992141
-13.521747371541013,-71.96492277254431
-13.521747327712669,-71.96492260540737
-13.52174729108512,-71.96492246092778
-13.521747260845752,-71.96492233669827
-13.52174723452198,-71.96492218711157
-13.521747213370675,-71.96492205828069
-13.521747200388715,-71.96492192745593
-13.52174719102779,-71.96492181535807
-13.52174720462441,-71.9649216606985
-13.521747231431451,-71.96492150909042
-13.521747264591262,-71.96492133708203
-13.521747308699723,-71.96492116991145
-13.521747362491464,-71.96492100706219
-13.52174741947747,-71.96492082484092
-13.52174746289756,-71.9649206643579
-13.521747497731974,-71.96492050253373
-13.521747542847663,-71.96492034443942
-13.52174752282825,-71.96492023503293
-13.521747506107195,-71.96492014222484
-13.521747492313212,-71.9649200641919
-13.521747421518729,-71.96491996099732
-13.521747368491065,-71.96491987603991
-13.521747249977139,-71.96491978500308
-13.521747145437317,-71.96491970831963
-13.52174702089938,-71.96491961345457
-13.521746911159285,-71.96491953322659
-13.521746769467763,-71.96491945360488
-13.52174664463126,-71.96491938687396
-13.521746493231571,-71.96491929810188
-13.521746323701935,-71.96491921313832
-13.521746186940494,-71.96491912284756
-13.521746055820124,-71.96491899915081
-13.521745940889723,-71.96491889279497
-13.521745840496388,-71.96491880192222
-13.521745699518975,-71.96491882075058
-13.521745576161644,-71.96491884145289
-13.52174545951727,-71.96491886117312
-13.521745357970888,-71.96491888234004
-13.521745251806697,-71.96491889967409
-13.521745159670017,-71.96491891840812
-13.52174506195661,-71.96491893328432
-13.521744977394437,-71.96491894954931
-13.521744930424882,-71.96491886386637
-13.521744891051387,-71.96491879019928
-13.521744856073033,-71.96491868245987
-13.52174483066264,-71.96491856789365
-13.521744816100421,-71.96491849213584
-13.521744796374433,-71.96491842488177
-13.521744781050783,-71.96491836769354
-13.521744769595111,-71.96491831946457
-13.521744764880026,-71.96491825793622
-13.521744762757434,-71.96491820575542
-13.521744742319484,-71.96491811183357
-13.521744726028158,-71.96491803067575
-13.521744618157204,-71.9649180237756
-13.521744523877507,-71.96491802027072
-13.521744396315485,-71.96491800724009
-13.521744284586399,-71.96491799809289
-13.5217441910928,-71.96491790456682
-13.521744109779206,-71.9649178234598
-13.5217439756808,-71.96491773599924
-13.521743858222736,-71.96491766035096
-13.521743704304201,-71.96491755888883
-13.521743569294362,-71.96491747076487
-13.521743396602899,-71.96491737959033
-13.521743245043867,-71.9649173007026
-13.521743112816829,-71.96491716589826
-13.521742997472584,-71.96491704805885
-13.521742848511835,-71.9649169544491
-13.521742718396688,-71.96491687352096
-13.52174255953323,-71.96491679140978
-13.521742420732204,-71.96491672076417
-13.521742290778823,-71.96491665784441
-13.52174217790672,-71.96491660430866
-13.521742095524093,-71.96491651843799
-13.521742025102013,-71.96491644436155
-13.521741947056535,-71.964916375806
-13.521741880470953,-71.96491631718686
-13.521741830111143,-71.96491622410562
-13.52174178815043,-71.96491614355418
-13.52174175964637,-71.9649160308012
-13.521741724907615,-71.9649159519143
-13.521741711874824,-71.96491584311458
-13.521741702973374,-71.96491574857968
-13.521741697675644,-71.96491566681992
-13.521741695507929,-71.96491559648369
-13.521741692875244,-71.9649154901623
-13.521741692910934,-71.96491539788077
-13.52174171045674,-71.96491527691796
-13.521741728334609,-71.96491517159454
-13.521741737201328,-71.9649150777664
-13.521741747132122,-71.96491499675882
-13.521741745693527,-71.96491494666103
-13.521741724818819,-71.96491492162681
-13.521741698783892,-71.96491489945431
-13.521741677321158,-71.96491488229206
-13.521741659901474,-71.96491486952723
-13.521741596975707,-71.96491486996453
-13.52174154253283,-71.96491487273919
-13.521741449608001,-71.96491486487633
-13.521741331606822,-71.9649148499734
-13.52174121893755,-71.96491483630327
-13.52174109561759,-71.96491479663194
-13.521740999670799,-71.96491474381443
-13.521740909749365,-71.96491467417424
-13.521740834430837,-71.9649145920219
-13.521740708142707,-71.9649145496532
-13.521740609676355,-71.96491449437798
-13.521740523967171,-71.96491444708151
-13.52174038863888,-71.96491443584033
-13.521740270191957,-71.96491442778309
-13.521740117963004,-71.96491443191493
-13.521739984618788,-71.96491443743547
-13.521739849764472,-71.96491443906743
-13.521739732051417,-71.96491444221651
-13.521739608505198,-71.96491446362849
-13.521739479852762,-71.96491450123312
-13.521739370586362,-71.96491451420788
-13.521739266689988,-71.96491452462918
-13.521739176802809,-71.96491453523294
-13.521739090219814,-71.9649145434166
-13.521739015779296,-71.96491455190774
-13.521738942963118,-71.96491455809783
-13.5217388807728,-71.96491456470721
-13.521738828034884,-71.96491457164284
-13.521738765311342,-71.96491457378188
-13.521738712032706,-71.96491457664301
-13.52173867633542,-71.96491458263021
-13.521738637894657,-71.96491458632612
-13.521738615331522,-71.96491459298055
-13.521738588495845,-71.96491459719704
-13.521738569590674,-71.96491457976398
-13.521738555076945,-71.96491456495875
-13.521738537837953,-71.96491452799853
-13.521738524676373,-71.96491449576298
-13.521738487511875,-71.96491446019408
-13.52173839870253,-71.96491443609351
