               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053704,            0.037278,           0.0023176,             0.71308,             0.59475,             0.67675,             0.29012,            0.046978,            0.039072,           0.0015847,           0.0033265,           0.0033265,            0.070062
                   1,            0.055617,            0.031918,           0.0016474,             0.76637,             0.59207,             0.70236,             0.32223,            0.048348,            0.037096,           0.0020084,           0.0066334,           0.0066334,            0.040035
                   2,            0.057374,            0.031215,           0.0023041,             0.72496,             0.62204,              0.7041,             0.26881,            0.051815,            0.036422,           0.0019675,            0.009914,            0.009914,           0.0099826
                   3,            0.057168,            0.031598,           0.0023553,             0.81687,             0.63138,             0.73744,             0.34696,            0.045941,             0.03661,           0.0019296,           0.0098812,           0.0098812,           0.0098812
                   4,            0.052996,            0.030334,           0.0018988,             0.78769,             0.65646,             0.75092,             0.35627,            0.044529,            0.035599,           0.0017488,           0.0098812,           0.0098812,           0.0098812
                   5,            0.051335,            0.030383,           0.0017127,             0.81643,              0.6522,             0.77221,             0.37579,            0.044083,            0.034898,            0.001608,           0.0098416,           0.0098416,           0.0098416
                   6,            0.049915,            0.029376,           0.0016145,             0.80147,             0.67832,             0.78175,             0.38107,            0.042703,            0.034492,           0.0015269,            0.009802,            0.009802,            0.009802
                   7,            0.048193,            0.029996,           0.0015034,             0.80883,             0.68074,             0.78253,             0.38844,            0.042319,            0.034245,           0.0015247,           0.0097624,           0.0097624,           0.0097624
                   8,            0.047129,            0.028877,           0.0014763,             0.81691,             0.67184,             0.77959,             0.38576,            0.041758,            0.034118,           0.0013376,           0.0097228,           0.0097228,           0.0097228
                   9,            0.048174,            0.029512,           0.0014448,             0.80323,             0.71292,             0.79676,             0.39405,            0.042425,            0.033952,           0.0012788,           0.0096832,           0.0096832,           0.0096832
                  10,            0.047143,            0.029187,           0.0013463,             0.82284,             0.70353,             0.80486,             0.40585,            0.040953,            0.033799,           0.0012953,           0.0096436,           0.0096436,           0.0096436
                  11,            0.046757,            0.029017,           0.0013901,             0.80799,             0.71181,             0.79381,             0.40531,            0.040594,            0.033798,           0.0012993,            0.009604,            0.009604,            0.009604
                  12,            0.046156,            0.028883,           0.0012992,             0.79828,             0.71933,              0.8027,             0.40025,            0.040427,            0.033784,           0.0011815,           0.0095644,           0.0095644,           0.0095644
                  13,            0.045137,            0.028486,           0.0012613,             0.81191,             0.71996,             0.81199,             0.41829,            0.040192,            0.033408,           0.0012693,           0.0095248,           0.0095248,           0.0095248
                  14,            0.045094,            0.028005,            0.001248,             0.83698,             0.70265,             0.81385,             0.42321,            0.039271,            0.033222,           0.0011579,           0.0094852,           0.0094852,           0.0094852
                  15,            0.044516,            0.028499,           0.0012203,             0.85334,             0.70087,             0.82071,             0.42295,            0.040062,            0.033143,            0.001191,           0.0094456,           0.0094456,           0.0094456
                  16,             0.04444,            0.028109,           0.0012018,             0.78362,             0.73851,             0.81449,             0.42156,            0.039689,            0.033663,           0.0011366,            0.009406,            0.009406,            0.009406
                  17,            0.044752,            0.027896,           0.0011734,             0.83488,             0.71957,             0.81814,              0.4218,            0.039565,            0.033184,           0.0011536,           0.0093664,           0.0093664,           0.0093664
                  18,            0.044043,            0.027956,           0.0011424,             0.85307,             0.70652,             0.82077,             0.42916,            0.038745,            0.032831,          0.00097823,           0.0093268,           0.0093268,           0.0093268
                  19,            0.044022,            0.027514,           0.0011444,             0.82117,             0.73062,             0.82211,             0.43057,             0.03858,            0.032964,            0.001093,           0.0092872,           0.0092872,           0.0092872
                  20,            0.043334,            0.027335,           0.0011417,             0.82192,             0.73905,             0.82749,             0.43705,            0.038134,            0.032734,           0.0010403,           0.0092476,           0.0092476,           0.0092476
                  21,            0.043816,            0.027777,           0.0011048,             0.81572,             0.73956,             0.82649,             0.43517,            0.038481,            0.032698,           0.0010684,            0.009208,            0.009208,            0.009208
                  22,            0.043122,            0.027502,           0.0010572,             0.82016,             0.72448,             0.81929,             0.42718,            0.038698,            0.032894,          0.00089551,           0.0091684,           0.0091684,           0.0091684
