               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035355,            0.059661,                   0,              0.9136,             0.86444,             0.94175,             0.65208,            0.030088,            0.058334,                   0,           0.0033297,           0.0033297,            0.070033
                   1,            0.034351,            0.054535,                   0,             0.91137,             0.88082,             0.94667,             0.63906,              0.0327,            0.060759,                   0,            0.006641,            0.006641,            0.040011
                   2,            0.038987,            0.055866,                   0,             0.90966,             0.85262,             0.93143,             0.60857,            0.035657,            0.060283,                   0,           0.0099304,           0.0099304,            0.009967
                   3,            0.038664,            0.055228,                   0,             0.93084,             0.86203,             0.95055,             0.64113,            0.032337,            0.062308,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.03629,            0.053479,                   0,              0.9081,             0.89214,             0.95252,             0.66201,            0.031183,            0.057957,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.035154,            0.052525,                   0,             0.91846,             0.89194,             0.95735,             0.66154,             0.03141,            0.058935,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.034245,              0.0514,                   0,             0.91055,             0.90196,             0.95721,             0.67493,            0.029838,             0.05547,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.033906,            0.050374,                   0,             0.92482,             0.88566,              0.9554,              0.6584,            0.030587,            0.056116,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.033187,            0.050283,                   0,             0.90748,             0.91146,             0.96025,              0.6784,            0.028923,            0.055041,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.032555,            0.049757,                   0,             0.91576,              0.8992,             0.95901,             0.67558,            0.029394,            0.055417,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.032437,            0.050297,                   0,             0.93212,             0.88782,             0.95943,             0.68058,            0.029366,            0.055288,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.031806,            0.049367,                   0,             0.93521,             0.88566,             0.96122,             0.68702,            0.028704,            0.053665,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.031332,            0.048258,                   0,              0.9164,             0.90393,             0.96036,             0.68759,            0.028173,            0.054503,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.031154,            0.048817,                   0,             0.91064,             0.90884,             0.96239,              0.6928,            0.028571,             0.05425,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.031248,            0.048951,                   0,              0.9149,             0.89977,             0.95786,             0.68754,            0.028115,            0.054393,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.030535,            0.048177,                   0,             0.91225,             0.90688,             0.96264,             0.68869,            0.028458,            0.054026,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.030217,            0.047059,                   0,             0.92888,             0.89764,             0.96397,             0.69513,            0.027596,            0.053224,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.030347,            0.047626,                   0,             0.92716,             0.89587,             0.96334,             0.70221,            0.027216,            0.052275,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.029933,            0.047837,                   0,              0.9258,             0.90334,             0.96539,             0.70357,            0.026995,            0.052418,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.029716,            0.047864,                   0,             0.92454,             0.89411,             0.95729,             0.68556,            0.028435,             0.05517,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.029949,            0.047897,                   0,             0.92755,             0.89961,             0.96514,             0.70377,            0.026931,             0.05178,                   0,            0.009373,            0.009373,            0.009373
