frame,id,x,y,type
2861,162,1335.0,892.0,ped
2862,162,1334.5,892.0,ped
2864,162,1342.0,893.0,ped
2866,162,1357.0,835.5,ped
2868,162,1369.5,827.0,ped
2869,162,1369.5,827.0,ped
2870,162,1376.5,822.0,ped
2871,162,1376.5,822.0,ped
2873,162,1387.5,818.5,ped
2874,162,1396.5,814.5,ped
2875,162,1396.5,814.5,ped
2876,162,1396.0,814.0,ped
2877,162,1407.0,809.0,ped
2878,162,1413.0,804.5,ped
2879,162,1413.0,805.0,ped
2880,162,1421.5,800.0,ped
2881,162,1421.5,800.0,ped
2882,162,1429.5,784.5,ped
2883,162,1429.5,784.5,ped
2884,162,1439.5,779.0,ped
2885,162,1439.0,779.0,ped
2886,162,1439.5,779.0,ped
2887,162,1448.5,770.5,ped
2888,162,1452.0,764.0,ped
2889,162,1452.0,764.0,ped
2890,162,1460.0,757.5,ped
2891,162,1460.0,757.5,ped
2892,162,1465.5,749.5,ped
2893,162,1465.5,749.5,ped
2894,162,1472.0,743.0,ped
2895,162,1472.0,742.5,ped
2896,162,1477.5,737.0,ped
2897,162,1477.5,736.5,ped
2898,162,1481.0,730.0,ped
2899,162,1481.0,730.0,ped
2900,162,1487.5,723.5,ped
2901,162,1487.5,723.0,ped
2902,162,1490.5,716.5,ped
2903,162,1490.5,716.5,ped
2904,162,1496.0,710.0,ped
2905,162,1496.0,710.0,ped
2906,162,1501.0,704.0,ped
2907,162,1501.0,704.0,ped
2908,162,1505.5,699.0,ped
2909,162,1505.5,699.0,ped
2910,162,1505.5,699.0,ped
2911,162,1509.0,691.0,ped
2912,162,1513.5,685.0,ped
2913,162,1513.5,685.0,ped
2914,162,1516.5,679.0,ped
2915,162,1516.5,679.0,ped
2916,162,1516.5,679.0,ped
2917,162,1520.5,672.0,ped
2918,162,1520.5,672.0,ped
2919,162,1523.0,666.0,ped
2920,162,1523.5,665.5,ped
2921,162,1525.5,661.5,ped
2922,162,1529.0,655.0,ped
2923,162,1529.0,655.0,ped
2924,162,1531.5,649.0,ped
2925,162,1531.5,649.0,ped
2926,162,1533.5,642.5,ped
2927,162,1533.5,642.5,ped
2928,162,1533.5,638.5,ped
2929,162,1533.5,638.5,ped
2930,162,1537.5,629.5,ped
2931,162,1537.5,629.5,ped
2932,162,1539.5,625.5,ped
2933,162,1539.5,625.5,ped
2934,162,1539.5,625.5,ped
2935,162,1542.5,619.5,ped
2936,162,1542.5,619.5,ped
2937,162,1542.5,615.0,ped
2938,162,1544.5,608.0,ped
2939,162,1544.5,608.0,ped
2940,162,1546.0,602.5,ped
2941,162,1546.0,602.5,ped
2942,162,1549.5,598.0,ped
2943,162,1549.5,598.0,ped
2944,162,1549.0,593.0,ped
2945,162,1549.0,592.5,ped
2946,162,1549.0,592.5,ped
2947,162,1550.5,587.5,ped
2948,162,1550.5,587.5,ped
2949,162,1552.0,583.0,ped
2950,162,1552.0,583.0,ped
2951,162,1551.5,579.0,ped
2952,162,1551.5,578.5,ped
2953,162,1553.0,572.0,ped
2954,162,1553.0,572.0,ped
2955,162,1554.0,565.5,ped
2956,162,1555.0,561.5,ped
2957,162,1555.0,561.5,ped
2958,162,1555.0,557.5,ped
2959,162,1555.0,557.5,ped
2960,162,1554.5,553.0,ped
2961,162,1554.5,553.5,ped
2962,162,1554.5,553.0,ped
2963,162,1553.0,547.0,ped
2964,162,1553.0,547.0,ped
2965,162,1552.5,543.5,ped
2966,162,1552.5,543.5,ped
2967,162,1551.5,537.5,ped
2968,162,1551.5,537.0,ped
2969,162,1551.5,533.0,ped
2970,162,1551.5,533.0,ped
2971,162,1552.0,528.5,ped
2972,162,1551.5,528.5,ped
