frame,id,x,y,type
2975,409,680.0,513.5,ped
2976,409,680.0,513.5,ped
2977,409,681.5,512.5,ped
2978,409,681.5,512.5,ped
2979,409,681.5,512.5,ped
2980,409,684.5,512.0,ped
2981,409,685.0,512.0,ped
2982,409,692.0,514.0,ped
2983,409,692.5,514.0,ped
2984,409,697.0,514.0,ped
2985,409,698.0,514.0,ped
2986,409,704.5,510.0,ped
2987,409,704.5,510.0,ped
2988,409,709.5,507.5,ped
2989,409,709.5,507.5,ped
2990,409,715.5,508.0,ped
2991,409,724.0,508.5,ped
2992,409,724.0,509.0,ped
2993,409,726.0,502.0,ped
2994,409,726.0,499.0,ped
2995,409,726.0,500.5,ped
2996,409,730.0,501.5,ped
2997,409,729.5,501.5,ped
2998,409,733.0,500.5,ped
2999,409,734.0,501.5,ped
3000,409,738.0,501.5,ped
3001,409,738.0,501.0,ped
3002,409,743.0,506.0,ped
3003,409,743.0,506.0,ped
3004,409,755.5,512.5,ped
3005,409,756.0,512.5,ped
3006,409,760.5,512.0,ped
3007,409,760.5,512.0,ped
3008,409,762.5,507.5,ped
3009,409,762.5,507.5,ped
3010,409,768.0,505.5,ped
3011,409,772.5,505.5,ped
3012,409,773.0,505.5,ped
3013,409,773.0,505.5,ped
3014,409,777.5,505.5,ped
3015,409,777.5,505.5,ped
3016,409,785.0,504.5,ped
3017,409,785.0,504.5,ped
3018,409,785.0,504.5,ped
3019,409,789.0,505.0,ped
3020,409,793.5,503.0,ped
3021,409,793.5,503.0,ped
3022,409,797.0,503.0,ped
3023,409,797.0,503.0,ped
3024,409,803.5,502.5,ped
3025,409,803.5,502.5,ped
3026,409,810.5,502.5,ped
3027,409,810.5,502.5,ped
3028,409,810.5,502.5,ped
3029,409,816.5,501.0,ped
3030,409,820.5,499.0,ped
3031,409,820.5,499.0,ped
3032,409,824.5,499.5,ped
3033,409,824.5,499.5,ped
3034,409,830.0,498.0,ped
3035,409,830.0,498.0,ped
3036,409,836.0,498.5,ped
3037,409,835.0,498.5,ped
3038,409,840.0,498.0,ped
3039,409,840.5,498.0,ped
3040,409,846.5,498.5,ped
3041,409,846.5,498.5,ped
3042,409,846.5,498.5,ped
3043,409,851.5,498.0,ped
3044,409,851.5,498.0,ped
3045,409,857.5,496.5,ped
3046,409,858.5,496.0,ped
3047,409,862.5,496.0,ped
3048,409,867.5,494.5,ped
3049,409,868.0,494.5,ped
3050,409,871.5,492.0,ped
3051,409,871.5,491.5,ped
3052,409,876.0,490.0,ped
3053,409,876.0,489.5,ped
3054,409,882.0,491.0,ped
3055,409,882.0,491.0,ped
3056,409,887.0,490.0,ped
3057,409,887.0,490.0,ped
3058,409,891.0,490.0,ped
3059,409,891.0,490.0,ped
3060,409,891.0,489.5,ped
3061,409,894.5,489.5,ped
3062,409,894.5,489.5,ped
3063,409,900.0,491.0,ped
3064,409,900.0,491.0,ped
3065,409,904.0,491.0,ped
3066,409,907.5,489.5,ped
3067,409,908.0,489.5,ped
3068,409,913.0,487.5,ped
3069,409,913.0,487.5,ped
3070,409,915.0,486.0,ped
3071,409,915.0,486.0,ped
3072,409,919.0,486.0,ped
3073,409,919.5,486.0,ped
3074,409,919.5,486.0,ped
3075,409,922.0,485.0,ped
3076,409,922.0,485.0,ped
3077,409,925.0,484.5,ped
3078,409,925.0,484.5,ped
3079,409,927.5,483.5,ped
3080,409,927.5,483.5,ped
3081,409,932.0,484.5,ped
3082,409,932.0,484.5,ped
3083,409,937.5,482.5,ped
3084,409,945.0,484.5,ped
3085,409,945.0,484.0,ped
3086,409,948.0,483.0,ped
3087,409,948.0,483.0,ped
3088,409,949.5,482.5,ped
3089,409,950.0,482.5,ped
3090,409,952.5,479.5,ped
3091,409,952.5,479.5,ped
3092,409,952.5,479.5,ped
3093,409,956.0,478.0,ped
3094,409,956.0,478.0,ped
3095,409,960.0,475.0,ped
3096,409,960.0,474.5,ped
3097,409,962.5,473.5,ped
3098,409,962.5,473.5,ped
3099,409,966.0,474.0,ped
3100,409,969.5,473.0,ped
3101,409,970.0,472.5,ped
3102,409,971.5,474.0,ped
3103,409,971.5,474.0,ped
3104,409,978.0,474.5,ped
3105,409,978.0,474.5,ped
