frame,id,x,y,type
6216,280,1891.0,791.5,ped
6217,280,1890.5,791.5,ped
6219,280,1886.0,768.0,ped
6220,280,1879.5,752.5,ped
6221,280,1879.5,752.5,ped
6223,280,1870.0,736.5,ped
6224,280,1869.5,736.5,ped
6225,280,1869.5,736.5,ped
6229,280,1858.0,732.0,ped
6231,280,1852.0,720.0,ped
6232,280,1848.5,715.0,ped
6233,280,1848.0,715.0,ped
6235,280,1842.5,704.5,ped
6236,280,1838.0,689.0,ped
6237,280,1838.5,688.5,ped
6239,280,1833.0,678.0,ped
6240,280,1828.5,668.0,ped
6241,280,1829.0,668.0,ped
6242,280,1822.5,657.5,ped
6243,280,1823.0,657.5,ped
6244,280,1819.5,647.5,ped
6245,280,1820.0,647.5,ped
6246,280,1814.5,642.0,ped
6247,280,1814.5,641.0,ped
6248,280,1807.0,632.0,ped
6249,280,1807.0,632.0,ped
6251,280,1795.5,621.0,ped
6252,280,1795.5,621.0,ped
6254,280,1786.5,612.5,ped
6257,280,1768.0,597.0,ped
6258,280,1768.0,597.0,ped
6259,280,1758.5,588.5,ped
6260,280,1758.5,588.5,ped
6262,280,1740.5,572.5,ped
6263,280,1740.5,572.5,ped
6265,280,1730.5,565.0,ped
6266,280,1723.0,559.0,ped
6267,280,1723.0,559.0,ped
6268,280,1723.0,559.0,ped
6269,280,1714.5,550.0,ped
6270,280,1714.5,550.0,ped
6271,280,1706.5,543.0,ped
6272,280,1706.5,542.5,ped
6273,280,1697.0,535.5,ped
6274,280,1697.0,535.5,ped
6275,280,1689.0,528.5,ped
6276,280,1682.0,521.5,ped
6277,280,1682.0,521.5,ped
6278,280,1673.5,515.0,ped
6279,280,1673.5,515.0,ped
6280,280,1666.0,510.0,ped
6281,280,1666.0,509.5,ped
6282,280,1659.0,502.0,ped
6283,280,1659.0,502.0,ped
6284,280,1650.5,497.0,ped
6285,280,1650.5,496.5,ped
6286,280,1642.5,488.5,ped
6287,280,1642.5,488.5,ped
6288,280,1642.5,488.5,ped
6289,280,1636.0,483.5,ped
6290,280,1636.0,483.5,ped
6291,280,1629.0,477.0,ped
6292,280,1621.5,472.5,ped
6293,280,1621.5,472.5,ped
6294,280,1616.5,465.0,ped
6295,280,1616.5,465.0,ped
6296,280,1609.0,461.0,ped
6297,280,1609.0,460.5,ped
6298,280,1605.5,454.5,ped
6299,280,1605.5,454.0,ped
6300,280,1605.5,454.0,ped
6301,280,1597.0,449.5,ped
6302,280,1597.0,449.5,ped
6303,280,1589.5,444.5,ped
6304,280,1589.5,444.5,ped
6305,280,1585.0,440.0,ped
6306,280,1585.0,440.0,ped
6307,280,1579.5,434.5,ped
6308,280,1579.5,434.5,ped
6309,280,1573.0,430.5,ped
6310,280,1573.0,430.5,ped
6311,280,1566.5,426.5,ped
6312,280,1562.5,420.5,ped
6313,280,1562.5,420.5,ped
6314,280,1562.5,420.5,ped
6315,280,1555.0,416.5,ped
6316,280,1555.0,416.5,ped
6317,280,1550.0,411.0,ped
6318,280,1550.0,411.0,ped
6319,280,1543.5,407.5,ped
6320,280,1543.5,407.5,ped
6321,280,1539.5,402.5,ped
6322,280,1539.5,402.5,ped
6323,280,1533.5,399.5,ped
6324,280,1533.5,399.5,ped
6325,280,1529.0,395.0,ped
6326,280,1523.5,390.5,ped
6327,280,1523.5,390.5,ped
6328,280,1518.5,387.0,ped
6329,280,1518.5,387.0,ped
6330,280,1518.5,387.0,ped
6331,280,1512.5,385.0,ped
6332,280,1512.5,385.0,ped
6333,280,1507.5,380.5,ped
6334,280,1507.5,380.5,ped
6335,280,1502.5,376.5,ped
6336,280,1502.5,376.0,ped
6337,280,1499.0,373.5,ped
6338,280,1499.0,373.5,ped
6339,280,1493.5,369.0,ped
6340,280,1493.5,369.0,ped
6341,280,1488.5,366.5,ped
6342,280,1488.5,366.5,ped
6343,280,1484.0,363.5,ped
6344,280,1484.0,363.5,ped
6345,280,1484.0,363.5,ped
6346,280,1479.5,359.5,ped
6347,280,1479.5,359.5,ped
6348,280,1475.0,356.5,ped
6349,280,1470.0,353.0,ped
6350,280,1470.0,353.0,ped
6351,280,1467.0,349.5,ped
6352,280,1467.0,349.5,ped
6353,280,1462.0,345.5,ped
6354,280,1462.0,345.0,ped
6355,280,1458.5,343.0,ped
6356,280,1458.5,343.0,ped
