frame,id,x,y,type
4839,227,1890.0,698.5,ped
4840,227,1889.5,698.5,ped
4841,227,1888.0,681.5,ped
4842,227,1888.5,681.5,ped
4843,227,1885.0,681.5,ped
4844,227,1884.5,681.5,ped
4845,227,1883.5,679.0,ped
4846,227,1883.0,679.0,ped
4847,227,1883.0,679.0,ped
4849,227,1879.0,669.0,ped
4852,227,1874.5,657.0,ped
4855,227,1871.0,651.0,ped
4856,227,1871.0,651.0,ped
4858,227,1868.0,642.5,ped
4865,227,1860.0,641.0,ped
4866,227,1859.0,639.0,ped
4867,227,1858.5,639.0,ped
4868,227,1853.0,630.0,ped
4869,227,1850.0,630.0,ped
4870,227,1849.5,630.0,ped
4871,227,1849.5,615.5,ped
4872,227,1849.5,615.5,ped
4873,227,1849.5,615.0,ped
4874,227,1846.0,616.0,ped
4875,227,1845.5,616.0,ped
4876,227,1845.5,614.0,ped
4877,227,1845.5,614.0,ped
4878,227,1842.5,608.5,ped
4879,227,1842.5,609.0,ped
4880,227,1838.0,603.5,ped
4881,227,1838.0,604.0,ped
4882,227,1834.5,598.5,ped
4883,227,1834.5,598.0,ped
4884,227,1827.5,594.5,ped
4885,227,1827.5,594.0,ped
4886,227,1818.5,591.5,ped
4887,227,1813.0,581.5,ped
4888,227,1813.0,581.5,ped
4889,227,1813.0,581.5,ped
4890,227,1813.0,581.5,ped
4891,227,1812.0,579.0,ped
4892,227,1812.0,578.5,ped
4893,227,1806.5,574.5,ped
4894,227,1802.5,571.0,ped
4895,227,1802.5,571.0,ped
4896,227,1796.5,567.5,ped
4897,227,1796.5,567.0,ped
4898,227,1789.0,562.0,ped
4899,227,1789.0,561.5,ped
4900,227,1786.0,559.5,ped
4901,227,1786.0,559.5,ped
4902,227,1783.5,552.0,ped
4903,227,1783.5,551.0,ped
4904,227,1779.5,549.5,ped
4905,227,1771.0,543.5,ped
4906,227,1771.0,543.5,ped
4907,227,1771.0,543.5,ped
4908,227,1764.5,539.5,ped
4909,227,1764.5,539.5,ped
4910,227,1760.0,534.5,ped
4911,227,1760.0,534.5,ped
4912,227,1754.5,531.0,ped
4913,227,1754.5,531.0,ped
4914,227,1751.0,526.5,ped
4915,227,1751.0,526.5,ped
4916,227,1748.0,522.0,ped
4917,227,1748.0,522.0,ped
4918,227,1741.0,520.5,ped
4919,227,1741.0,520.5,ped
4920,227,1733.5,516.0,ped
4921,227,1735.0,516.0,ped
4922,227,1728.0,512.0,ped
4923,227,1728.0,511.5,ped
4924,227,1721.5,507.5,ped
4925,227,1721.5,507.0,ped
4926,227,1717.5,501.5,ped
4927,227,1718.0,500.5,ped
4928,227,1711.0,497.0,ped
4929,227,1711.0,496.5,ped
4930,227,1709.5,494.5,ped
4931,227,1709.5,494.5,ped
4932,227,1702.0,492.0,ped
4933,227,1702.0,492.0,ped
4934,227,1701.5,489.0,ped
4935,227,1701.5,489.0,ped
4936,227,1692.0,484.0,ped
4937,227,1692.0,484.0,ped
4938,227,1686.5,481.0,ped
4939,227,1686.5,481.0,ped
4940,227,1681.0,477.0,ped
4941,227,1681.0,477.0,ped
4942,227,1680.0,474.0,ped
4943,227,1680.0,474.0,ped
4944,227,1673.0,472.0,ped
4945,227,1673.0,472.0,ped
4946,227,1668.5,467.5,ped
4947,227,1668.5,467.5,ped
4948,227,1663.0,463.5,ped
4949,227,1663.5,463.5,ped
4950,227,1658.5,460.0,ped
4951,227,1659.0,460.0,ped
4952,227,1658.5,460.0,ped
4953,227,1654.0,457.0,ped
4954,227,1654.0,457.0,ped
4955,227,1654.0,457.0,ped
4956,227,1649.5,454.5,ped
4957,227,1649.5,454.5,ped
4958,227,1644.0,450.5,ped
4959,227,1639.5,447.0,ped
4960,227,1634.5,444.0,ped
4961,227,1634.5,444.0,ped
4962,227,1631.0,442.5,ped
4963,227,1631.0,442.5,ped
4964,227,1627.0,438.5,ped
4965,227,1627.0,438.5,ped
4966,227,1627.0,438.5,ped
4967,227,1621.0,436.0,ped
4968,227,1621.0,436.0,ped
4969,227,1616.5,433.0,ped
4970,227,1616.5,433.0,ped
4971,227,1614.0,430.0,ped
4972,227,1614.0,430.0,ped
4973,227,1609.5,427.0,ped
4974,227,1609.5,427.0,ped
4975,227,1605.0,425.0,ped
4976,227,1600.0,423.0,ped
4977,227,1600.0,423.0,ped
4978,227,1598.0,421.0,ped
4979,227,1598.0,421.0,ped
4980,227,1594.0,417.0,ped
4981,227,1594.0,417.0,ped
4982,227,1594.0,417.0,ped
4983,227,1590.0,414.5,ped
4984,227,1591.0,413.5,ped
4985,227,1586.5,411.0,ped
4986,227,1586.5,411.0,ped
4987,227,1582.5,409.0,ped
4988,227,1582.5,409.0,ped
4989,227,1579.5,406.0,ped
4990,227,1579.5,406.0,ped
4991,227,1575.0,403.5,ped
4992,227,1575.0,403.5,ped
4993,227,1572.0,398.5,ped
4994,227,1568.5,396.0,ped
4995,227,1568.5,396.0,ped
4996,227,1563.5,394.0,ped
4997,227,1564.0,393.5,ped
4998,227,1560.0,391.5,ped
4999,227,1560.0,390.5,ped
5000,227,1560.0,390.5,ped
5001,227,1557.0,389.5,ped
5002,227,1557.0,388.5,ped
5003,227,1554.0,388.0,ped
5004,227,1554.0,388.0,ped
5005,227,1551.5,385.5,ped
5006,227,1551.5,385.5,ped
5007,227,1548.5,382.5,ped
5008,227,1548.5,382.5,ped
5009,227,1543.5,380.5,ped
5010,227,1543.5,380.5,ped
5011,227,1540.5,375.5,ped
5012,227,1540.5,375.5,ped
5013,227,1538.5,373.5,ped
5014,227,1538.5,373.0,ped
5015,227,1536.5,372.5,ped
5016,227,1536.5,372.0,ped
5017,227,1532.0,371.0,ped
5018,227,1532.0,370.0,ped
5019,227,1532.0,370.0,ped
5020,227,1532.0,370.0,ped
5021,227,1528.5,368.5,ped
5022,227,1528.5,368.5,ped
5023,227,1525.0,366.0,ped
5024,227,1522.0,364.0,ped
5025,227,1518.5,361.5,ped
5026,227,1518.5,361.5,ped
5027,227,1515.5,358.0,ped
5028,227,1515.5,358.0,ped
5029,227,1514.0,356.0,ped
5030,227,1514.0,356.0,ped
5031,227,1511.0,353.0,ped
5032,227,1511.0,353.0,ped
5033,227,1506.5,351.5,ped
5034,227,1506.5,351.5,ped
5035,227,1503.5,350.5,ped
5036,227,1503.5,350.5,ped
5037,227,1501.5,349.5,ped
5038,227,1501.5,349.5,ped
5039,227,1500.0,347.5,ped
5040,227,1500.0,347.5,ped
5041,227,1500.0,347.5,ped
5042,227,1497.0,345.0,ped
5043,227,1496.5,345.0,ped
5044,227,1492.0,342.0,ped
5045,227,1492.0,342.0,ped
5046,227,1489.5,340.5,ped
5047,227,1487.0,339.5,ped
5048,227,1487.0,339.5,ped
5049,227,1487.0,339.5,ped
5050,227,1485.0,336.0,ped
5051,227,1485.0,336.0,ped
5052,227,1482.5,334.0,ped
5053,227,1479.0,333.5,ped
5054,227,1479.0,333.0,ped
5055,227,1477.0,331.5,ped
5056,227,1477.0,331.5,ped
5057,227,1477.0,331.5,ped
5058,227,1475.5,329.0,ped
5059,227,1475.5,329.0,ped
5060,227,1475.5,329.0,ped
5061,227,1472.0,327.5,ped
5062,227,1472.0,327.5,ped
5063,227,1468.5,326.5,ped
5064,227,1466.0,324.0,ped
5065,227,1463.5,323.5,ped
5066,227,1463.5,323.5,ped
5067,227,1463.5,323.5,ped
5068,227,1461.0,321.0,ped
5069,227,1461.0,320.5,ped
5070,227,1459.0,319.5,ped
5071,227,1459.0,319.0,ped
5072,227,1457.5,318.0,ped
5073,227,1457.5,317.0,ped
5074,227,1455.5,316.5,ped
5075,227,1455.5,316.5,ped
5076,227,1452.5,316.0,ped
5077,227,1452.5,316.0,ped
5078,227,1449.5,313.0,ped
5079,227,1449.5,313.0,ped
5080,227,1447.0,312.0,ped
5081,227,1447.0,312.0,ped
5082,227,1444.0,310.5,ped
5083,227,1444.0,310.5,ped
5084,227,1444.0,310.0,ped
5085,227,1442.5,309.0,ped
5086,227,1442.5,309.0,ped
5087,227,1440.0,306.5,ped
5088,227,1438.5,305.0,ped
5089,227,1438.5,305.0,ped
5090,227,1436.0,303.5,ped
5091,227,1436.0,303.5,ped
5092,227,1434.0,303.0,ped
5093,227,1434.0,303.0,ped
5094,227,1434.0,303.0,ped
5095,227,1434.0,303.0,ped
5096,227,1431.5,301.0,ped
5097,227,1431.5,300.5,ped
5098,227,1428.0,299.0,ped
5099,227,1426.0,297.5,ped
5100,227,1424.0,296.0,ped
5101,227,1424.0,296.0,ped
5102,227,1421.0,294.0,ped
5103,227,1421.0,294.0,ped
5104,227,1419.5,294.0,ped
5105,227,1419.5,294.0,ped
5106,227,1418.0,292.0,ped
5107,227,1418.0,292.0,ped
5108,227,1414.5,291.5,ped
5109,227,1414.5,291.5,ped
5110,227,1412.5,289.5,ped
5111,227,1412.5,289.5,ped
5112,227,1409.5,287.0,ped
5113,227,1409.5,287.0,ped
5114,227,1408.5,286.0,ped
5115,227,1408.5,286.0,ped
5116,227,1406.0,284.5,ped
5117,227,1406.0,284.5,ped
5118,227,1405.5,284.0,ped
5119,227,1405.5,284.0,ped
5120,227,1404.0,282.5,ped
5121,227,1404.0,282.5,ped
5122,227,1400.5,283.5,ped
5123,227,1400.5,283.5,ped
5124,227,1398.5,281.0,ped
5125,227,1398.5,280.5,ped
5126,227,1395.5,279.5,ped
5127,227,1395.5,279.5,ped
5128,227,1394.0,280.0,ped
5129,227,1394.0,280.0,ped
5130,227,1390.5,277.5,ped
5131,227,1390.5,277.5,ped
5132,227,1389.5,274.0,ped
5133,227,1389.5,274.0,ped
5134,227,1387.5,272.0,ped
5135,227,1387.5,272.0,ped
5136,227,1385.5,270.5,ped
5137,227,1385.5,270.5,ped
5138,227,1387.0,268.5,ped
5139,227,1387.5,268.0,ped
5140,227,1385.0,269.0,ped
5141,227,1385.0,269.0,ped
5142,227,1385.0,268.0,ped
5143,227,1385.0,268.0,ped
5144,227,1382.5,265.0,ped
5145,227,1382.5,264.5,ped
5146,227,1382.5,265.0,ped
5147,227,1382.0,264.5,ped
5150,227,1375.0,264.0,ped
5151,227,1375.0,264.0,ped
5152,227,1374.5,262.5,ped
5153,227,1373.5,262.0,ped
5154,227,1373.5,261.5,ped
